paidAt,amountfinancedByXepelin
2021-10-09 00:00:00,0.0
2021-10-16 00:00:00,0.0
2021-10-19 00:00:00,10520.15
2021-10-31 00:00:00,0.0
2021-11-02 00:00:00,737.99
2021-11-13 00:00:00,79421.63
2021-11-14 00:00:00,34783.64
2021-11-15 00:00:00,0.0
2021-11-16 00:00:00,0.0
2021-11-20 00:00:00,624.48
2021-11-27 00:00:00,3784.77
2021-11-28 00:00:00,0.0
2021-12-12 00:00:00,90359.36
2021-12-13 00:00:00,182138.99
2021-12-18 00:15:00,0.0
2021-12-19 15:53:00,0.0
2021-12-21 00:00:00,0.0
2021-12-22 18:27:00,237719.84
2021-12-27 17:07:00,72089.36
2021-12-27 17:08:00,10523.52
2021-12-28 15:31:00,0.0
2022-01-01 23:03:00,0.0
2022-01-02 16:13:00,4855.82
2022-01-02 23:27:00,0.0
2022-01-03 18:05:00,0.0
2022-01-03 18:09:00,0.0
2022-01-03 22:03:00,0.0
2022-01-05 16:05:00,8236.0
2022-01-05 16:06:00,31302.12
2022-01-09 15:56:00,0.0
2022-01-09 15:57:00,27979.51
2022-01-09 22:37:00,171163.8
2022-01-10 00:00:00,227406.1
2022-01-10 02:16:00,7932.47
2022-01-10 21:34:00,0.0
2022-01-10 21:51:00,0.0
2022-01-11 00:00:00,6858.780000000001
2022-01-11 20:08:00,0.0
2022-01-11 20:14:00,0.0
2022-01-11 20:19:00,0.0
2022-01-12 00:00:00,733029.28
2022-01-12 22:57:00,0.0
2022-01-15 00:00:00,3752738.35
2022-01-15 23:04:00,0.0
2022-01-16 00:00:00,19338.8
2022-01-16 14:19:00,0.0
2022-01-16 14:23:00,0.0
2022-01-17 00:00:00,6573.11
2022-01-19 00:00:00,163841.79
2022-01-22 14:13:00,15158.88
2022-01-22 18:29:00,0.0
2022-01-23 16:54:00,10774.08
2022-01-24 18:41:00,0.0
2022-01-25 22:47:00,0.0
2022-01-25 22:50:00,0.0
2022-01-26 21:02:00,0.0
2022-01-29 00:00:00,0.0
2022-01-30 20:34:00,32322.24
2022-02-01 15:15:00,0.0
2022-02-01 15:19:00,465.67
2022-02-01 16:28:00,166877.6
2022-02-02 18:31:00,0.0
2022-02-05 00:00:00,889496.4
2022-02-06 18:42:00,15235.36
2022-02-07 00:00:00,0.0
2022-02-08 00:00:00,14677.21
2022-02-08 14:47:00,0.0
2022-02-09 15:21:00,272510.68
2022-02-13 00:00:00,238484.4
2022-02-13 20:08:00,0.0
2022-02-14 00:00:00,0.0
2022-02-15 00:00:00,12553.52
2022-02-16 00:00:00,339445.18000000005
2022-02-16 18:03:00,0.0
2022-02-20 00:00:00,306150.58999999997
2022-02-20 13:56:00,23303.32
2022-02-20 20:49:00,0.0
2022-02-22 00:00:00,2164765.06
2022-02-23 00:00:00,0.0
2022-02-26 00:00:00,0.0
2022-02-27 00:00:00,27133.98
2022-02-28 00:00:00,14613.45
2022-03-01 00:00:00,26954.67
2022-03-02 00:00:00,118393.72
2022-03-06 00:00:00,5384.36
2022-03-07 00:00:00,0.0
2022-03-09 00:00:00,0.0
2022-03-12 00:00:00,3300.74
2022-03-13 00:00:00,433853.25
2022-03-14 00:00:00,25084.2
2022-03-15 00:00:00,2064.75
2022-03-16 00:00:00,0.0
2022-03-19 00:00:00,128964.78
2022-03-20 00:00:00,776.02
2022-03-21 00:00:00,2733.06
2022-03-22 00:00:00,258621.54
2022-03-23 00:00:00,251721.16
2022-03-26 00:00:00,62683.61
2022-03-27 00:00:00,6576.04
2022-03-28 00:00:00,53050.5
2022-03-30 00:00:00,964217.58
2022-04-02 00:00:00,32928.5
2022-04-03 00:00:00,0.0
2022-04-04 00:00:00,0.0
2022-04-05 00:00:00,330005.33
2022-04-06 00:00:00,53081.6
2022-04-09 00:00:00,0.0
2022-04-10 00:00:00,406471.42
2022-04-11 00:00:00,0.0
2022-04-12 00:00:00,188944.97
2022-04-13 00:00:00,22842.21
2022-04-16 00:00:00,0.0
2022-04-17 00:00:00,320683.16
2022-04-19 00:00:00,6504.48
2022-04-20 00:00:00,68609.18
2022-04-23 00:00:00,1079751.1400000001
2022-04-24 00:00:00,540023.98
2022-04-25 00:00:00,8024.410000000001
2022-05-01 00:00:00,0.0
2022-05-03 00:00:00,9529.61
2022-05-07 00:00:00,47030.0
2022-05-08 00:00:00,374279.37
2022-05-09 00:00:00,0.0
2022-05-10 00:00:00,0.0
2022-05-14 00:00:00,169913.1
2022-05-15 00:00:00,99721.72
2022-05-16 00:00:00,0.0
2022-05-18 00:00:00,14261.97
2022-05-21 00:00:00,0.0
2022-05-28 00:00:00,0.0
2022-05-30 00:00:00,0.0
2022-05-31 00:00:00,0.0
